slot,epoch,slice,tenant,load,L,theta,report,report_multiplier,weight,allocation_prbs,throughput_mbps,latency_ms,cqi,snr_db,ber,demand_prbs,binding,sla_violation,wasted_prbs
5,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.16076042216565642,12.0,18.461706762601175,1.1180918594156772e-32,9.347221037123207,0,0,0.0
5,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.2232649467451853,0.0,10.0,12.488369199718868,1.2947349693117145e-09,1.0604557990155736,0,0,0.9395442009844264
6,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.5966480887704546,0.0,11.0,15.494065679114222,1.9118664456568695e-17,1.022985466924195,0,0,0.9770145330758051
6,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.14043096498384275,12.0,18.14901668268445,1.5170582811295632e-30,10.07433355324864,0,0,0.0
6,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.3602244029668909,0.0,10.0,13.830297849488893,1.8171129279090298e-12,1.0604557990155736,0,0,0.9395442009844264
7,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.5183240678280349,0.0,11.0,15.218174822606148,1.7459608057487044e-16,1.022985466924195,0,0,0.9770145330758051
7,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.3285733004615644,12.0,17.249311261009186,3.400700275988943e-25,9.891368438612318,0,0,0.0
7,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.15537135022943935,0.0,10.0,12.45704835055359,1.475764933773219e-09,1.0604557990155736,0,0,0.9395442009844264
8,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.3440052833385947,0.0,11.0,15.13656320750972,3.2722051422371997e-16,1.022985466924195,0,0,0.9770145330758051
8,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.2677691527758293,12.0,17.20046601528484,6.191338192017157e-25,11.584649457911814,0,0,0.0
8,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.6939542306703486,0.0,10.0,12.865317588974818,2.48793254121704e-10,1.0604557990155736,0,0,0.9395442009844264
9,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.6046391533842995,0.0,11.0,15.936254472194962,4.079066544095868e-19,1.022985466924195,0,0,0.9770145330758051
9,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.04254639129834575,12.0,17.631366759380352,2.4715457878089652e-27,11.037412128740197,0,0,0.0
