load,L,seed,rho_hat,ic_slack,ic_slack_pct,best_multiplier,strategic_rho,regret,learned_reward,best_fixed_reward,truthful_utility,theory_rho_T_over_L,theory_sqrt_LT
0.9,240,2372,0.17666666666666667,0.0,0.0,1.0,0.17666666666666667,6838.214982638543,-133379.85532645957,-126541.64034382103,828157.3706790417,1.7666666666666666,758.946638440411
1.2,30,2192,0.6579166666666667,6874.10556392814,0.45477824058929556,0.95,0.6279166666666667,819.9687991802057,-147468.33526977917,-146648.36647059896,1511529.1257164737,52.63333333333333,268.32815729997475
1.2,60,2222,0.5595833333333333,2976.9875386480708,0.25305245170556484,0.95,0.48125,1602.4698873147136,-146771.73643188798,-145169.26654457327,1176431.0199657332,22.383333333333333,379.4733192202055
1.2,120,2282,0.5633333333333334,379.0321913261432,0.028545788393082177,0.95,0.5041666666666667,1450.6157513807702,-148437.5560230019,-146986.94027162113,1327804.249463288,11.266666666666667,536.6563145999495
1.2,240,2402,0.69,14185.430058708414,0.9893519647886655,0.95,0.6816666666666666,2305.9347481557925,-148161.13892879532,-145855.20418063953,1433810.2680918565,6.8999999999999995,758.946638440411
0.6,30,3132,0.024166666666666666,0.0,0.0,1.0,0.024166666666666666,3899.4111420738627,-123260.96394541269,-119361.55280333883,430988.4725312837,1.9333333333333333,268.32815729997475
0.6,60,3162,0.0,0.0,0.0,1.0,0.0,2654.3616646410956,-108585.04941006374,-105930.68774542265,333751.61410787154,0.0,379.4733192202055
0.6,120,3222,0.0,0.0,0.0,1.0,0.0,0.0,-109958.43425339498,-109958.43425339498,282901.7956804546,0.0,536.6563145999495
0.6,240,3342,0.0,0.0,0.0,1.0,0.0,0.0,-110223.7344357588,-110223.7344357588,340190.33192123054,0.0,758.946638440411
0.9,30,3162,0.26125,0.0,0.0,1.0,0.26125,1961.7004444423364,-130782.78169694335,-128821.08125250101,848536.5987764819,20.9,268.32815729997475
0.9,60,3192,0.34375,0.0,0.0,1.0,0.34375,6522.167227054451,-146950.81506946607,-140428.64784241162,854824.2732675473,13.75,379.4733192202055
0.9,120,3252,0.15,0.0,0.0,1.0,0.15,5172.75855773213,-141970.06740252936,-136797.30884479723,881551.9041098711,3.0,536.6563145999495
0.9,240,3372,0.4,0.0,0.0,1.0,0.4,1908.4103968371055,-138461.45696981958,-136553.04657298248,1172644.2556536319,4.0,758.946638440411
1.2,30,3192,0.55125,8061.065768124303,0.6341683986317729,0.9,0.465,728.8887917911634,-149392.5685635039,-148663.67977171275,1271123.850623299,44.1,268.32815729997475
1.2,60,3222,0.3645833333333333,0.0,0.0,1.0,0.3645833333333333,2621.5613748161704,-145204.44047992516,-142582.879105109,1153761.690275738,14.583333333333334,379.4733192202055
1.2,120,3282,0.55,13770.934096532408,1.3218456478474112,1.2,0.69875,772.7762011994491,-147954.33527461573,-147181.55907341628,1041795.9251867258,11.0,536.6563145999495
1.2,240,3402,0.7079166666666666,0.0,0.0,1.0,0.7079166666666666,2854.3696074910404,-145934.3568782011,-143079.98727071006,1450299.9895936293,7.079166666666667,758.946638440411
0.6,30,4132,0.025,0.0,0.0,1.0,0.025,1832.40585822711,-126778.33432879833,-124945.92847057122,431253.93295963696,2.0,268.32815729997475
0.6,60,4162,0.0,0.0,0.0,1.0,0.0,433.66303746169433,-126597.92668185865,-126164.26364439695,522730.11703839013,0.0,379.4733192202055
0.6,120,4222,0.0016666666666666668,0.0,0.0,1.0,0.0016666666666666668,8139.5621203808405,-117533.06096979951,-109393.49884941867,454035.4777024673,0.03333333333333333,536.6563145999495
0.6,240,4342,0.0,0.0,0.0,1.0,0.0,5592.271140713885,-127497.00230516717,-121904.73116445329,476050.36312648037,0.0,758.946638440411
0.9,30,4162,0.4033333333333333,4927.278415136621,0.510939719386003,0.95,0.32416666666666666,3058.173385036731,-144345.46747869617,-141287.29409365944,964356.112509268,32.266666666666666,268.32815729997475
0.9,60,4192,0.19958333333333333,0.0,0.0,1.0,0.19958333333333333,1369.8859976515523,-129871.47942377024,-128501.59342611869,895137.0444463912,7.983333333333333,379.4733192202055
0.9,120,4252,0.29,407.89079718175344,0.03968515015857007,0.95,0.25,5027.412327093378,-131089.16539653885,-126061.75306944548,1027817.1949758108,5.8,536.6563145999495
0.9,240,4372,0.36833333333333335,0.0,0.0,1.0,0.36833333333333335,10580.173353142498,-133669.14218984588,-123088.96883670338,781741.5979237882,3.683333333333333,758.946638440411
1.2,30,4192,0.5033333333333333,2090.782473219093,0.15581566718750747,1.1,0.6133333333333333,1496.4069085867668,-147145.37767482267,-145648.9707662359,1341830.7099394954,40.266666666666666,268.32815729997475
1.2,60,4222,0.5304166666666666,0.0,0.0,1.0,0.5304166666666666,465.8354824632406,-147201.0202647481,-146735.18478228486,1414454.0246843603,21.216666666666665,379.4733192202055
1.2,120,4282,0.52,1274.1179180790205,0.09096464802868323,0.95,0.5066666666666667,733.7213811354304,-147299.6501860172,-146565.92880488178,1400673.7185167384,10.4,536.6563145999495
1.2,240,4402,0.6270833333333333,41.198293711058795,0.003142104418868452,1.05,0.6979166666666666,6671.031823119876,-148716.15981607916,-142045.1279929593,1311168.8288798276,6.270833333333333,758.946638440411
0.6,30,5132,0.0375,0.0,0.0,1.0,0.0375,295.3128464487818,-123826.34727708076,-123531.03443063197,479452.9577068049,3.0,268.32815729997475
0.6,60,5162,0.005,0.0,0.0,1.0,0.005,0.0,-131493.45539060785,-131493.45539060785,427531.53346659173,0.2,379.4733192202055
