slot,epoch,slice,tenant,load,L,theta,report,report_multiplier,weight,allocation_prbs,throughput_mbps,latency_ms,cqi,snr_db,ber,demand_prbs,binding,sla_violation,wasted_prbs
6,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,2,1.3353076799999999,1.4364512181956126,13.0,20.083876627509472,1.4713983580092451e-46,4.381057581034898,0,0,0.0
6,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,7.37886348,0.016376282234448127,15.0,23.074980076956507,1.3595750718931441e-90,8.447332907058852,0,0,0.5526670929411477
6,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.65383848,1.4863767463281143,7.0,7.3328085104608,0.0005014830230293971,2.8165263515573336,0,0,0.18347364844266645
7,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,1,0.6676538399999999,4.589496157430269,13.0,20.572918132905112,7.347882630482616e-52,3.84236531553498,0,1,0.0
7,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,6.79503168,0.1655596299371526,14.0,22.399668403463494,7.297970019223255e-78,8.607382956783047,0,0,0.3926170432169531
7,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.65383848,1.8955041869842866,7.0,7.814576487323378,0.00025323281301470937,7.275656590541676,0,0,0.0
8,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,2,1.3353076799999999,1.4232664633445518,13.0,20.551696249674283,1.284602157392183e-51,5.558959036574024,0,0,0.0
8,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,5.002673552354494,0.0,15.0,22.996774310108684,5.1365287077211835e-89,9.819474619750933,0,0,0.0
8,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.8475634799999997,0.5584221272792879,8.0,9.044130419712424,3.086508334779402e-05,7.203290077330801,0,0,0.0
9,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,1,0.6676538399999999,2.6704961057917886,13.0,20.213098941515504,6.669784953577294e-48,3.8159958058328582,0,1,0.0
9,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,5.317211457510071,0.0,14.0,21.80922126487671,3.059612244064922e-68,8.447332907058852,0,0,0.5526670929411477
