slot,epoch,slice,tenant,load,L,theta,report,report_multiplier,weight,allocation_prbs,throughput_mbps,latency_ms,cqi,snr_db,ber,demand_prbs,binding,sla_violation,wasted_prbs
4,0,URLLC,0,0.55,30,1.1939259835188363,1.3112521647581195,1.0,3.6178571428571433,2,1.2062707105862551,0.0,13.0,20.816053511809447,1.001768516719676e-54,2.0997832286063893,0,0,0.0
4,0,eMBB,1,0.55,30,7.92376275742596,7.379185175004756,1.0,2.0939285714285716,8,6.04002816,0.14142843992450688,14.0,22.482423756995626,2.5543825829683013e-79,7.92376275742596,0,0,0.07623724257403985
4,0,mMTC,2,0.55,30,2.7595650205811704,3.028270835329239,1.0,0.46599999999999997,4,1.225880351176871,0.0,9.0,11.49677843454676,5.386647097712968e-08,2.7595650205811704,0,0,1.2404349794188296
5,0,URLLC,0,0.55,30,1.1425733472923743,1.3112521647581195,1.0,3.6178571428571433,2,1.3098301224326303,0.0,13.0,20.019205004527084,6.689223346787894e-46,1.1425733472923743,0,0,0.8574266527076257
5,0,eMBB,1,0.55,30,7.568506421624004,7.379185175004756,1.0,2.0939285714285716,8,6.04002816,0.1606568702800085,14.0,22.38905948268553,1.1164836464234228e-77,8.699933941020058,0,0,0.0
5,0,mMTC,2,0.55,30,2.867198296487435,3.028270835329239,1.0,0.46599999999999997,4,0.5005176583114456,0.0,10.0,11.874693961035604,1.432874315940559e-08,2.8671982964874347,0,0,1.1328017035125653
6,0,URLLC,0,0.55,30,1.156227431671244,1.3112521647581195,1.0,3.6178571428571433,2,0.09968683494528724,0.0,13.0,19.644810349372204,2.798406515211247e-42,1.156227431671244,0,0,0.843772568328756
6,0,eMBB,1,0.55,30,7.091664279520948,7.379185175004756,1.0,2.0939285714285716,8,6.04002816,0.05119165182222373,14.0,22.165604468888418,6.830170021793951e-74,8.376919241761016,0,0,0.0
6,0,mMTC,2,0.55,30,2.8812407903885227,3.028270835329239,1.0,0.46599999999999997,4,0.069391168935228,0.0,9.0,11.681419470288157,2.8602169217979172e-08,2.8812407903885227,0,0,1.1187592096114773
7,0,URLLC,0,0.55,30,1.299678540180943,1.3112521647581195,1.0,3.6178571428571433,2,0.4056807430687941,0.0,13.0,20.110462656683335,7.8439985138204835e-47,1.299678540180943,0,0,0.700321459819057
7,0,eMBB,1,0.55,30,7.268900386123554,7.379185175004756,1.0,2.0939285714285716,8,4.649063848244231,0.0,14.0,22.4220293296504,2.9684493355768097e-78,7.678433600701344,0,0,0.32156639929865616
7,0,mMTC,2,0.55,30,2.87425518714559,3.028270835329239,1.0,0.46599999999999997,4,0.29813194577969565,0.0,10.0,12.288622618409477,2.9369261730126983e-09,2.87425518714559,0,0,1.12574481285441
8,0,URLLC,0,0.55,30,1.1933654083270164,1.3112521647581195,1.0,3.6178571428571433,2,0.39624215396574314,0.0,13.0,20.006515704189308,8.979938244099392e-46,1.1933654083270164,0,0,0.8066345916729836
8,0,eMBB,1,0.55,30,6.71898402059652,7.379185175004756,1.0,2.0939285714285716,8,6.04002816,0.15714335334306062,14.0,22.488165223563403,2.0195112361810793e-79,6.71898402059652,0,0,1.28101597940348
8,0,mMTC,2,0.55,30,2.834092121002713,3.028270835329239,1.0,0.46599999999999997,4,0.5453402264139189,0.0,10.0,11.964945406064407,1.02688707848582e-08,2.834092121002713,0,0,1.1659078789972872
9,0,URLLC,0,0.55,30,1.2166649877377895,1.3112521647581195,1.0,3.6178571428571433,2,1.3353076799999999,0.29861723034381166,13.0,20.33560438728194,3.258813015882431e-49,1.2166649877377895,0,0,0.7833350122622105
9,0,eMBB,1,0.55,30,7.628136042281781,7.379185175004756,1.0,2.0939285714285716,8,6.04002816,0.4693425157748172,14.0,22.103190645115482,7.20816859272903e-73,8.885282869026266,0,0,0.0
