load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs,seed
0.55,60,0.0,0.0,-5.753984047892792,-6.3522981744482605,210942.64308133136,279020.3066649721,68077.66358364074,0.0,0.0,1.8142411057288776,0.16694444444444445,9.633540997560383,2.0198817424404956,5
0.55,120,0.0,0.0,-5.3547480673877175,-5.845423026818675,207475.50400213085,252698.82182609683,45223.317823965976,0.0,0.0,1.5683831486638142,0.15208333333333332,9.301700132490456,2.4066083991844227,5
0.55,240,0.0,0.0,-6.886998598358557,-7.000694905864868,227022.85395989224,241582.99643014738,14560.142470255145,0.0,0.0,2.2535413011495087,0.20347222222222222,9.59814144932184,2.817846456360496,5
0.85,30,0.0,0.00375,-8.15527617723959,-14.94479720544645,498441.44237363175,500271.8606327323,1830.4182591005228,6.86406847162696,0.0,3.1615363402381886,0.2644444444444444,15.30754941451272,1.1965504236479245,5
0.85,60,0.021666666666666667,0.0,-10.964720605955334,-19.51723455176165,453195.0205753288,499829.0605048914,46634.0399295626,1010.4041984738564,0.8666666666666667,4.2051717984797445,0.3026388888888889,14.230134346755595,1.7470774981945312,5
0.85,120,0.00041666666666666664,0.0,-9.948434001315222,-15.08372378232263,417462.55130841833,480183.706086257,62721.154777838674,26.133814490766113,0.008333333333333333,7.056562587664058,0.33166666666666667,13.726681706616512,3.4788421423467355,5
0.85,240,0.01625,0.0,-7.468573660716885,-17.737444849073214,358148.9554005972,515780.5394523025,157631.58405170531,2561.5132408402114,0.1625,2.5031018202249338,0.22722222222222221,15.038142322091113,7.469647890069385,5
1.15,30,0.0675,0.08416666666666667,-11.450966035919889,-22.403492265985975,649292.2169833055,653673.3042469175,4381.08726361196,368.74151135400666,5.4,2.925027188268409,0.22513888888888892,18.66460842414834,1.3345977513201688,5
1.15,60,0.0925,0.08458333333333333,-17.455319549090053,-24.360420608569573,745079.7807091192,704834.6092144852,0.0,0.0,3.7,11.251609118844886,0.45055555555555554,20.38973456415647,1.3203429535539166,5
1.15,120,0.16875,0.05,-16.2879347825439,-23.116004658451434,751249.2612813584,732648.3430144872,0.0,0.0,3.375,13.544469542190006,0.49722222222222234,20.016723371127156,2.6563868796343995,5
1.15,240,0.30625,0.004999999999999999,-15.082870119732064,-25.697751769879815,692204.008501771,744895.9711891767,52691.96268740564,16136.913573017979,3.0625,12.127927150192788,0.385,20.700344990049704,4.955823631571747,5
0.55,30,0.0,0.0,-4.726183356024818,-6.181414299563039,223702.89888980912,278902.4781548319,55199.579265022796,0.0,0.0,1.2712225026160862,0.13347222222222221,10.044242097779563,1.5347322225951536,6
0.55,60,0.0,0.0,-6.5693893965380195,-6.701196533785905,196830.4333167745,228984.60364234305,32154.170325568557,0.0,0.0,1.3649500144719606,0.1584722222222222,9.558548479114341,1.5368509184838754,6
0.55,120,0.0,0.0,-6.646572111807285,-6.948689574195853,217871.06790218232,245437.41149171544,27566.34358953312,0.0,0.0,2.0196882714462934,0.18263888888888888,9.317719226714125,1.3048190903687908,6
0.55,240,0.0,0.0,-4.228201647070202,-4.376094989443287,202107.63693495627,242098.3665170092,39990.72958205294,0.0,0.0,1.4275200931728398,0.1238888888888889,9.136902324590718,2.586184081358052,6
0.85,30,0.054166666666666675,0.04916666666666667,-8.28799893955222,-16.78841653076736,550457.3979004115,568800.7551100019,18343.35720959038,993.5985155194791,4.333333333333334,2.9723535166944766,0.23305555555555557,15.774896633299903,1.3172126690309258,6
0.85,60,0.05,0.0,-9.437937717984124,-17.649985089242378,510571.6201268119,553891.0074580654,43319.3873312535,2165.969366562675,2.0,7.262184577428416,0.3006944444444445,15.217242092437079,1.9964687996279866,6
0.85,120,0.05,0.04708333333333333,-12.18197816072233,-14.724509406414036,502703.76309060294,502601.831071587,0.0,0.0,1.0,18.516738976939553,0.4027777777777778,14.650440160171362,3.488688336137527,6
0.85,240,0.0,0.0,-17.93248901915438,-19.767101653141772,442492.2954104772,445489.542655515,2997.247245037812,0.0,0.0,24.354191787131892,0.5136111111111111,13.38764938702406,2.5171699441798,6
1.15,30,0.07708333333333334,0.08333333333333333,-10.910953982573595,-20.651466584741204,761689.832575012,715212.2193729037,0.0,0.0,6.166666666666667,4.942169024061167,0.3783333333333333,19.27825291232096,0.8635003026966735,6
1.15,60,0.04666666666666667,0.09583333333333333,-18.441276116811974,-27.117736540333365,716318.1038632737,708197.4537987637,0.0,0.0,1.8666666666666667,13.195583918626431,0.4379166666666666,19.52856976964582,1.5859582579313762,6
1.15,120,0.205,0.1625,-21.265577730693533,-25.31531862350561,782129.4393814807,729415.7692486652,0.0,0.0,4.1,20.737035452205586,0.5809722222222222,20.321092382867263,1.9984218565935628,6
1.15,240,0.0,0.0,-20.98270593162378,-21.722355875260092,751124.9991828909,690964.1686801671,0.0,0.0,0.0,35.1318052932298,0.5487500000000001,17.687934305317018,0.5692109302691708,6
0.55,30,0.0,0.0,-4.116472042378638,-4.593618397754694,160527.3184202215,227472.97261169358,66945.65419147207,0.0,0.0,1.0413614546114853,0.11125,8.805222223193365,1.5604025722450556,7
0.55,60,0.0,0.0,-4.533087275848237,-4.844183072335194,189065.1429479355,241312.85176476455,52247.70881682905,0.0,0.0,1.2656773073918492,0.12513888888888888,9.261682760007151,2.1411226405370263,7
0.55,120,0.0,0.0,-6.5749896109720245,-6.795583024341852,215635.10842984222,263398.3406447319,47763.232214889664,0.0,0.0,3.2235372564957308,0.20750000000000002,9.672637013006401,2.638914779147526,7
0.55,240,0.0,0.0,-6.945067078653047,-7.087714792530263,201287.21505263122,222256.787028239,20969.571975607774,0.0,0.0,2.1153355689503046,0.19597222222222221,9.018508536784562,2.8487610151253966,7
0.85,30,0.0,0.002916666666666667,-5.97510640944495,-17.037261270264505,400451.68625988043,477945.7003699703,77494.01411008986,226.02420782109544,0.0,1.9228283403749462,0.15875,14.206087733303594,1.5478987479713138,7
0.85,60,0.025,0.0016666666666666666,-10.663956105539361,-14.508192604451036,464185.52913353173,488004.5603184384,23819.031184906664,595.4757796226667,1.0,9.37085797902877,0.31486111111111115,13.633697223664962,1.9371823439855191,7
0.85,120,0.0,0.0,-10.708163889882659,-17.450458836603442,468494.71408856346,504969.4413005733,36474.727212009835,0.0,0.0,7.152660173034855,0.3484722222222222,14.476885884763709,2.861464132365249,7
