load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs,seed
0.85,240,0.0,0.012916666666666668,-14.708263906477445,-11.64872833789072,499873.5385753836,337263.1238758203,0.0,0.0,0.0,11.983157021731753,0.4490277777777777,15.18192401862819,1.9444818563672996,7
1.15,30,0.052500000000000005,0.04041666666666667,-12.2504686271244,-23.520757762532465,749003.4496979739,730858.429835457,0.0,0.0,4.2,3.6963004570622444,0.28180555555555553,18.68020475783871,0.9805369333124359,7
1.15,60,0.15,0.095,-15.927263039081373,-26.254477221509934,705266.0546515712,725313.538275409,20047.48362383782,3007.122543575673,6.0,5.369011780466151,0.35291666666666666,20.59176815680296,2.5739487809725796,7
1.15,120,0.06291666666666666,0.0,-15.901199356307009,-19.790818040083828,745061.4659709253,706195.044366752,0.0,0.0,1.2583333333333333,18.826236485784136,0.4763888888888889,19.640382281734706,2.723629562611951,7
1.15,240,0.0,0.04,-12.831852468219848,-20.175902999079458,685922.6642914639,655746.9585088308,0.0,0.0,0.0,11.185216916683967,0.4215277777777778,18.634116508025862,2.1892309434402604,7
0.55,30,0.0,0.0,-4.984272152339246,-6.120355119439619,188783.1566022404,232613.4955605495,43830.33895830909,0.0,0.0,1.807498096494991,0.14402777777777778,9.361199377469026,1.1991364266697713,8
0.55,60,0.0,0.0,-6.0814389182148405,-6.4886194559040264,174897.60099273082,226046.95733683745,51149.356344106636,0.0,0.0,1.3490894460121592,0.15069444444444444,9.06272626122389,2.245956527828049,8
0.55,120,0.0,0.004583333333333333,-6.680773895317603,-7.259391142422564,203507.42949589927,245575.75554851105,42068.32605261178,192.81316107447066,0.0,1.7696025994828577,0.17972222222222223,9.679744321447927,3.280557412440359,8
0.55,240,0.0,0.00041666666666666664,-5.98053850911204,-6.3212660072747,253655.4583720646,259878.30471679606,6222.846344731457,2.592852643638107,0.0,2.175353762132342,0.17625000000000002,10.185484232098878,3.5693254261965803,8
0.85,30,0.013750000000000002,0.0125,-8.085039539703825,-19.471676234654026,475837.890696773,537733.5827129738,61895.6920162008,851.0657652227611,1.1000000000000003,2.956774158419422,0.20472222222222225,14.508459141272738,1.3514024401214049,8
