exp,T,L,mech,seed,slack,best_d
E1a,10000,50,CUM(r=1),5,0.3596112235884448,-0.010000000000000009
E1a,10000,50,CUM(r=1),6,0.47888026586360866,-0.015
E1a,10000,50,CUM(r=1),7,0.5179960267959132,-0.015
E1a,10000,50,EPOCH0,0,0.0,0.0
E1a,10000,50,EPOCH0,1,0.0,0.0
E1a,10000,50,EPOCH0,2,0.0,0.0
E1a,10000,50,EPOCH0,3,0.0,0.0
E1a,10000,50,EPOCH0,4,0.0,0.0
E1a,10000,50,EPOCH0,5,0.0,0.0
E1a,10000,50,EPOCH0,6,0.0,0.0
E1a,10000,50,EPOCH0,7,0.0,0.0
E1a,10000,50,CUM0,0,0.0,0.0
E1a,10000,50,CUM0,1,0.0,0.0
E1a,10000,50,CUM0,2,0.0,0.0
E1a,10000,50,CUM0,3,0.0,0.0
E1a,10000,50,CUM0,4,0.0,0.0
E1a,10000,50,CUM0,5,0.0,0.0
E1a,10000,50,CUM0,6,0.0,0.0
E1a,10000,50,CUM0,7,0.0,0.0
E1a,25000,50,RINF,0,4.268061151507027,-0.05
E1a,25000,50,RINF,1,4.268061151507027,-0.05
E1a,25000,50,RINF,2,4.268061151507027,-0.05
E1a,25000,50,RINF,3,4.268061151507027,-0.05
E1a,25000,50,RINF,4,4.268061151507027,-0.05
E1a,25000,50,RINF,5,4.268061151507027,-0.05
E1a,25000,50,RINF,6,4.268061151507027,-0.05
E1a,25000,50,RINF,7,4.268061151507027,-0.05
E1a,25000,50,EPOCH(r=1),0,4.2608970524211145,-0.05
E1a,25000,50,EPOCH(r=1),1,4.2648695549273725,-0.05
E1a,25000,50,EPOCH(r=1),2,4.260888800854445,-0.05
E1a,25000,50,EPOCH(r=1),3,4.267545010570757,-0.05
E1a,25000,50,EPOCH(r=1),4,4.257937795192447,-0.05
E1a,25000,50,EPOCH(r=1),5,4.264529276134908,-0.05
E1a,25000,50,EPOCH(r=1),6,4.252363857602177,-0.05
E1a,25000,50,EPOCH(r=1),7,4.264222345529561,-0.05
E1a,25000,50,EPOCH(r=2),0,4.268061151507027,-0.05
E1a,25000,50,EPOCH(r=2),1,4.268061151507027,-0.05
E1a,25000,50,EPOCH(r=2),2,4.268061151507027,-0.05
E1a,25000,50,EPOCH(r=2),3,4.268061151507027,-0.05
E1a,25000,50,EPOCH(r=2),4,4.268061151507027,-0.05
E1a,25000,50,EPOCH(r=2),5,4.268061151507027,-0.05
E1a,25000,50,EPOCH(r=2),6,4.268061151507027,-0.05
E1a,25000,50,EPOCH(r=2),7,4.268061151507027,-0.05
E1a,25000,50,CUM(r=1),0,0.9619767154676993,-0.010000000000000009
E1a,25000,50,CUM(r=1),1,0.658736095012955,-0.010000000000000009
E1a,25000,50,CUM(r=1),2,1.1651927581779091,-0.010000000000000009
E1a,25000,50,CUM(r=1),3,1.0372907505861804,-0.010000000000000009
E1a,25000,50,CUM(r=1),4,0.891040161350702,-0.010000000000000009
E1a,25000,50,CUM(r=1),5,0.6462696849398526,-0.010000000000000009
E1a,25000,50,CUM(r=1),6,0.8090944939517613,-0.010000000000000009
E1a,25000,50,CUM(r=1),7,0.9700951452778099,-0.010000000000000009
E1a,25000,50,EPOCH0,0,0.0,0.0
E1a,25000,50,EPOCH0,1,0.0,0.0
E1a,25000,50,EPOCH0,2,0.0,0.0
E1a,25000,50,EPOCH0,3,0.0,0.0
E1a,25000,50,EPOCH0,4,0.0,0.0
E1a,25000,50,EPOCH0,5,0.0,0.0
E1a,25000,50,EPOCH0,6,0.0,0.0
E1a,25000,50,EPOCH0,7,0.0,0.0
E1a,25000,50,CUM0,0,0.0,0.0
E1a,25000,50,CUM0,1,0.0,0.0
E1a,25000,50,CUM0,2,0.0,0.0
E1a,25000,50,CUM0,3,0.0,0.0
E1a,25000,50,CUM0,4,0.0,0.0
E1a,25000,50,CUM0,5,0.0,0.0
E1a,25000,50,CUM0,6,0.0,0.0
E1a,25000,50,CUM0,7,0.0,0.0
E1a,50000,50,RINF,0,8.880389561375523,-0.05
E1a,50000,50,RINF,1,8.880389561375523,-0.05
E1a,50000,50,RINF,2,8.880389561375523,-0.05
E1a,50000,50,RINF,3,8.880389561375523,-0.05
E1a,50000,50,RINF,4,8.880389561375523,-0.05
E1a,50000,50,RINF,5,8.880389561375523,-0.05
E1a,50000,50,RINF,6,8.880389561375523,-0.05
E1a,50000,50,RINF,7,8.880389561375523,-0.05
E1a,50000,50,EPOCH(r=1),0,8.8746906986853,-0.05
E1a,50000,50,EPOCH(r=1),1,8.872832367797855,-0.05
E1a,50000,50,EPOCH(r=1),2,8.870805846881012,-0.05
E1a,50000,50,EPOCH(r=1),3,8.877969293160277,-0.05
E1a,50000,50,EPOCH(r=1),4,8.873780862127205,-0.05
E1a,50000,50,EPOCH(r=1),5,8.874130332703317,-0.05
E1a,50000,50,EPOCH(r=1),6,8.871240464935,-0.05
E1a,50000,50,EPOCH(r=1),7,8.878420996627028,-0.05
E1a,50000,50,EPOCH(r=2),0,8.880389561375523,-0.05
E1a,50000,50,EPOCH(r=2),1,8.880389561375523,-0.05
E1a,50000,50,EPOCH(r=2),2,8.880389561375523,-0.05
E1a,50000,50,EPOCH(r=2),3,8.880389561375523,-0.05
E1a,50000,50,EPOCH(r=2),4,8.880389561375523,-0.05
E1a,50000,50,EPOCH(r=2),5,8.880389561375523,-0.05
E1a,50000,50,EPOCH(r=2),6,8.880389561375523,-0.05
E1a,50000,50,EPOCH(r=2),7,8.880389561375523,-0.05
E1a,50000,50,CUM(r=1),0,1.4694738263733598,-0.010000000000000009
E1a,50000,50,CUM(r=1),1,1.0079766891194595,-0.0050000000000000044
E1a,50000,50,CUM(r=1),2,1.6834717767633265,-0.010000000000000009
E1a,50000,50,CUM(r=1),3,1.5925799533470126,-0.010000000000000009
E1a,50000,50,CUM(r=1),4,1.3149365134149775,-0.010000000000000009
E1a,50000,50,CUM(r=1),5,1.1326640957468044,-0.0050000000000000044
E1a,50000,50,CUM(r=1),6,1.1632496711463318,-0.0050000000000000044
E1a,50000,50,CUM(r=1),7,1.4091940582247844,-0.010000000000000009
E1a,50000,50,EPOCH0,0,0.0,0.0
E1a,50000,50,EPOCH0,1,0.0,0.0
E1a,50000,50,EPOCH0,2,0.0,0.0
E1a,50000,50,EPOCH0,3,0.0,0.0
E1a,50000,50,EPOCH0,4,0.0,0.0
E1a,50000,50,EPOCH0,5,0.0,0.0
E1a,50000,50,EPOCH0,6,0.0,0.0
E1a,50000,50,EPOCH0,7,0.0,0.0
E1a,50000,50,CUM0,0,0.0,0.0
E1a,50000,50,CUM0,1,0.0,0.0
E1a,50000,50,CUM0,2,0.0,0.0
E1a,50000,50,CUM0,3,0.0,0.0
E1a,50000,50,CUM0,4,0.0,0.0
E1a,50000,50,CUM0,5,0.0,0.0
E1a,50000,50,CUM0,6,0.0,0.0
E1a,50000,50,CUM0,7,0.0,0.0
E1a,100000,50,RINF,0,18.105046381528155,-0.05
E1a,100000,50,RINF,1,18.105046381528155,-0.05
E1a,100000,50,RINF,2,18.105046381528155,-0.05
E1a,100000,50,RINF,3,18.105046381528155,-0.05
E1a,100000,50,RINF,4,18.105046381528155,-0.05
E1a,100000,50,RINF,5,18.105046381528155,-0.05
E1a,100000,50,RINF,6,18.105046381528155,-0.05
E1a,100000,50,RINF,7,18.105046381528155,-0.05
E1a,100000,50,EPOCH(r=1),0,18.102219513708405,-0.05
E1a,100000,50,EPOCH(r=1),1,18.095519832599166,-0.05
E1a,100000,50,EPOCH(r=1),2,18.097804185694258,-0.05
E1a,100000,50,EPOCH(r=1),3,18.10150783035533,-0.05
E1a,100000,50,EPOCH(r=1),4,18.089916913198977,-0.05
E1a,100000,50,EPOCH(r=1),5,18.099807392194634,-0.05
E1a,100000,50,EPOCH(r=1),6,18.09508086621463,-0.05
E1a,100000,50,EPOCH(r=1),7,18.10459433430151,-0.05
E1a,100000,50,EPOCH(r=2),0,18.105046381528155,-0.05
E1a,100000,50,EPOCH(r=2),1,18.105046381528155,-0.05
E1a,100000,50,EPOCH(r=2),2,18.105046381528155,-0.05
E1a,100000,50,EPOCH(r=2),3,18.105046381528155,-0.05
E1a,100000,50,EPOCH(r=2),4,18.105046381528155,-0.05
E1a,100000,50,EPOCH(r=2),5,18.105046381528155,-0.05
E1a,100000,50,EPOCH(r=2),6,18.105046381528155,-0.05
E1a,100000,50,EPOCH(r=2),7,18.105046381528155,-0.05
E1a,100000,50,CUM(r=1),0,2.276706955368354,-0.0050000000000000044
E1a,100000,50,CUM(r=1),1,1.6082816345169704,-0.0050000000000000044
E1a,100000,50,CUM(r=1),2,2.2987265466890676,-0.010000000000000009
E1a,100000,50,CUM(r=1),3,2.479051160520612,-0.0050000000000000044
E1a,100000,50,CUM(r=1),4,1.921164945777491,-0.0050000000000000044
E1a,100000,50,CUM(r=1),5,1.935422816166465,-0.0050000000000000044
E1a,100000,50,CUM(r=1),6,1.7858653726452758,-0.0050000000000000044
E1a,100000,50,CUM(r=1),7,2.0819088300831936,-0.0050000000000000044
E1a,100000,50,EPOCH0,0,0.0,0.0
E1a,100000,50,EPOCH0,1,0.0,0.0
E1a,100000,50,EPOCH0,2,0.0,0.0
E1a,100000,50,EPOCH0,3,0.0,0.0
E1a,100000,50,EPOCH0,4,0.0,0.0
E1a,100000,50,EPOCH0,5,0.0,0.0
E1a,100000,50,EPOCH0,6,0.0,0.0
E1a,100000,50,EPOCH0,7,0.0,0.0
E1a,100000,50,CUM0,0,0.0,0.0
E1a,100000,50,CUM0,1,0.0,0.0
E1a,100000,50,CUM0,2,0.0,0.0
E1a,100000,50,CUM0,3,0.0,0.0
E1a,100000,50,CUM0,4,0.0,0.0
E1a,100000,50,CUM0,5,0.0,0.0
E1a,100000,50,CUM0,6,0.0,0.0
E1a,100000,50,CUM0,7,0.0,0.0
E1b,50000,25,RINF,0,9.052523191414366,-0.05
E1b,50000,25,RINF,1,9.052523191414366,-0.05
E1b,50000,25,RINF,2,9.052523191414366,-0.05
E1b,50000,25,RINF,3,9.052523191414366,-0.05
E1b,50000,25,RINF,4,9.052523191414366,-0.05
E1b,50000,25,RINF,5,9.052523191414366,-0.05
E1b,50000,25,RINF,6,9.052523191414366,-0.05
E1b,50000,25,RINF,7,9.052523191414366,-0.05
E1b,50000,50,RINF,0,8.880389561375523,-0.05
E1b,50000,50,RINF,1,8.880389561375523,-0.05
E1b,50000,50,RINF,2,8.880389561375523,-0.05
E1b,50000,50,RINF,3,8.880389561375523,-0.05
E1b,50000,50,RINF,4,8.880389561375523,-0.05
E1b,50000,50,RINF,5,8.880389561375523,-0.05
E1b,50000,50,RINF,6,8.880389561375523,-0.05
E1b,50000,50,RINF,7,8.880389561375523,-0.05
E1b,50000,100,RINF,0,8.53612230311046,-0.05
E1b,50000,100,RINF,1,8.53612230311046,-0.05
E1b,50000,100,RINF,2,8.53612230311046,-0.05
E1b,50000,100,RINF,3,8.53612230311046,-0.05
E1b,50000,100,RINF,4,8.53612230311046,-0.05
E1b,50000,100,RINF,5,8.53612230311046,-0.05
E1b,50000,100,RINF,6,8.53612230311046,-0.05
E1b,50000,100,RINF,7,8.53612230311046,-0.05
E1b,50000,200,RINF,0,7.874630198431987,-0.045000000000000005
E1b,50000,200,RINF,1,7.874630198431987,-0.045000000000000005
E1b,50000,200,RINF,2,7.874630198431987,-0.045000000000000005
E1b,50000,200,RINF,3,7.874630198431987,-0.045000000000000005
E1b,50000,200,RINF,4,7.874630198431987,-0.045000000000000005
E1b,50000,200,RINF,5,7.874630198431987,-0.045000000000000005
E1b,50000,200,RINF,6,7.874630198431987,-0.045000000000000005
E1b,50000,200,RINF,7,7.874630198431987,-0.045000000000000005
